Accession	Protein_id	Product_name	Note	Codon_start
AY954969	AAX92092.1	ORF010	G1ORF010	1
AY954969	AAX92122.1	ORF040	G1ORF040	1
AY954969	AAX92273.1	ORF235	G1ORF235	1
AY954969	AAX92172.1	ORF091	G1ORF091	1
AY954969	AAX92105.1	ORF023	G1ORF023	1
AY954969	AAX92191.1	ORF112	G1ORF112	1
AY954969	AAX92198.1	ORF120	G1ORF120	1
AY954969	AAX92194.1	ORF115	G1ORF115	1
AY954969	AAX92096.1	ORF014	G1ORF014	1
AY954969	AAX92130.1	ORF048	G1ORF048	1
AY954969	AAX92111.1	ORF029	G1ORF029	1
AY954969	AAX92098.1	ORF016	G1ORF016	1
AY954969	AAX92224.1	ORF151	G1ORF151	1
AY954969	AAX92112.1	ORF030	G1ORF030	1
AY954969	AAX92116.1	ORF034	G1ORF034	1
AY954969	AAX92144.1	ORF062	G1ORF062	1
AY954969	AAX92121.1	ORF039	G1ORF039	1
AY954969	AAX92256.1	ORF202	G1ORF202	1
AY954969	AAX92093.1	ORF011	G1ORF011	1
AY954969	AAX92184.1	ORF105	G1ORF105	1
AY954969	AAX92286.1	ORF293	G1ORF293	1
AY954969	AAX92174.1	ORF093	G1ORF093	1
AY954969	AAX92260.1	ORF215	G1ORF215	1
AY954969	AAX92215.1	ORF141	G1ORF141	1
AY954969	AAX92176.1	ORF095	G1ORF095	1
AY954969	AAX92155.1	ORF074	G1ORF074	1
AY954969	AAX92083.1	ORF001	G1ORF001	1
AY954969	AAX92289.1	ORF311	G1ORF311	1
AY954969	AAX92285.1	ORF285	G1ORF285	1
AY954969	AAX92087.1	ORF005	G1ORF005	1
AY954969	AAX92115.1	ORF033	G1ORF033	1
AY954969	AAX92086.1	ORF004	G1ORF004	1
AY954969	AAX92125.1	ORF043	G1ORF043	1
AY954969	AAX92159.1	ORF078	G1ORF078	1
AY954969	AAX92134.1	ORF052	G1ORF052	1
AY954969	AAX92109.1	ORF027	G1ORF027	1
AY954969	AAX92085.1	ORF003	G1ORF003	1
AY954969	AAX92160.1	ORF079	G1ORF079	1
AY954969	AAX92084.1	ORF002	G1ORF002	1
AY954969	AAX92283.1	ORF262	G1ORF262	1
AY954969	AAX92090.1	ORF008	G1ORF008	1
AY954969	AAX92195.1	ORF117	G1ORF117	1
AY954969	AAX92099.1	ORF017	G1ORF017	1
AY954969	AAX92094.1	ORF012	G1ORF012	1
AY954969	AAX92095.1	ORF013	G1ORF013	1
AY954969	AAX92097.1	ORF015	G1ORF015	1
AY954969	AAX92110.1	ORF028	G1ORF028	1
AY954969	AAX92189.1	ORF110	G1ORF110	1
AY954969	AAX92091.1	ORF009	G1ORF009	1
AY954969	AAX92149.1	ORF067	G1ORF067	1
AY954969	AAX92108.1	ORF026	G1ORF026	1
AY954969	AAX92203.1	ORF127	G1ORF127	1
AY954969	AAX92178.1	ORF098	G1ORF098	1
AY954969	AAX92146.1	ORF064	G1ORF064	1
AY954969	AAX92181.1	ORF102	G1ORF102	1
AY954969	AAX92088.1	ORF006	G1ORF006	1
AY954969	AAX92107.1	ORF025	G1ORF025	1
AY954969	AAX92206.1	ORF130	G1ORF130	1
AY954969	AAX92205.1	ORF129	G1ORF129	1
AY954969	AAX92148.1	ORF066	G1ORF066	1
AY954969	AAX92221.1	ORF147	G1ORF147	1
AY954969	AAX92117.1	ORF035	G1ORF035	1
AY954969	AAX92162.1	ORF081	G1ORF081	1
AY954969	AAX92101.1	ORF019	G1ORF019	1
AY954969	AAX92293.1	ORF388	G1ORF388	1
AY954969	AAX92123.1	ORF041	G1ORF041	1
AY954969	AAX92119.1	ORF037	G1ORF037	1
AY954969	AAX92246.1	ORF181	G1ORF181	1
AY954969	AAX92170.1	ORF089	G1ORF089	1
AY954969	AAX92102.1	ORF020	G1ORF020	1
AY954969	AAX92103.1	ORF021	G1ORF021	1
AY954969	AAX92199.1	ORF121	G1ORF121	1
AY954969	AAX92138.1	ORF056	G1ORF056	1
AY954969	AAX92141.1	ORF059	G1ORF059	1
AY954969	AAX92161.1	ORF080	G1ORF080	1
AY954969	AAX92251.1	ORF189	G1ORF189	1
AY954969	AAX92242.1	ORF174	G1ORF174	1
AY954969	AAX92128.1	ORF046	G1ORF046	1
AY954969	AAX92104.1	ORF022	G1ORF022	1
AY954969	AAX92196.1	ORF118	G1ORF118	1
AY954969	AAX92217.1	ORF143	G1ORF143	1
AY954969	AAX92156.1	ORF075	G1ORF075	1
AY954969	AAX92127.1	ORF045	G1ORF045	1
AY954969	AAX92179.1	ORF099	G1ORF099	1
AY954969	AAX92118.1	ORF036	G1ORF036	1
AY954969	AAX92129.1	ORF047	G1ORF047	1
AY954969	AAX92175.1	ORF094	G1ORF094	1
AY954969	AAX92180.1	ORF100	G1ORF100	1
AY954969	AAX92135.1	ORF053	G1ORF053	1
AY954969	AAX92187.1	ORF108	G1ORF108	1
AY954969	AAX92247.1	ORF182	G1ORF182	1
AY954969	AAX92280.1	ORF252	G1ORF252	1
AY954969	AAX92276.1	ORF240	G1ORF240	1
AY954969	AAX92157.1	ORF076	G1ORF076	1
AY954969	AAX92277.1	ORF241	G1ORF241	1
AY954969	AAX92225.1	ORF152	G1ORF152	1
AY954969	AAX92263.1	ORF219	G1ORF219	1
AY954969	AAX92197.1	ORF119	G1ORF119	1
AY954969	AAX92201.1	ORF124	G1ORF124	1
AY954969	AAX92233.1	ORF162	G1ORF162	1
AY954969	AAX92214.1	ORF140	G1ORF140	1
AY954969	AAX92200.1	ORF122	G1ORF122	1
AY954969	AAX92147.1	ORF065	G1ORF065	1
AY954969	AAX92275.1	ORF237	G1ORF237	1
AY954969	AAX92186.1	ORF107	G1ORF107	1
AY954969	AAX92241.1	ORF173	G1ORF173	1
AY954969	AAX92291.1	ORF333	G1ORF333	1
AY954969	AAX92229.1	ORF157	G1ORF157	1
AY954969	AAX92292.1	ORF362	G1ORF362	1
AY954969	AAX92238.1	ORF170	G1ORF170	1
AY954969	AAX92274.1	ORF236	G1ORF236	1
AY954969	AAX92239.1	ORF171	G1ORF171	1
AY954969	AAX92211.1	ORF137	G1ORF137	1
AY954969	AAX92261.1	ORF216	G1ORF216	1
AY954969	AAX92137.1	ORF055	G1ORF055	1
AY954969	AAX92284.1	ORF263	G1ORF263	1
AY954969	AAX92259.1	ORF211	G1ORF211	1
AY954969	AAX92227.1	ORF155	G1ORF155	1
AY954969	AAX92218.1	ORF144	G1ORF144	1
AY954969	AAX92113.1	ORF031	G1ORF031	1
AY954969	AAX92100.1	ORF018	G1ORF018	1
AY954969	AAX92244.1	ORF178	G1ORF178	1
AY954969	AAX92192.1	ORF113	G1ORF113	1
AY954969	AAX92253.1	ORF194	G1ORF194	1
AY954969	AAX92216.1	ORF142	G1ORF142	1
AY954969	AAX92163.1	ORF082	G1ORF082	1
AY954969	AAX92207.1	ORF131	G1ORF131	1
AY954969	AAX92213.1	ORF139	G1ORF139	1
AY954969	AAX92267.1	ORF225	G1ORF225	1
AY954969	AAX92295.1	ORF445	G1ORF445	1
AY954969	AAX92223.1	ORF150	G1ORF150	1
AY954969	AAX92270.1	ORF231	G1ORF231	1
AY954969	AAX92228.1	ORF156	G1ORF156	1
AY954969	AAX92230.1	ORF158	G1ORF158	1
AY954969	AAX92226.1	ORF154	G1ORF154	1
AY954969	AAX92243.1	ORF175	G1ORF175	1
AY954969	AAX92248.1	ORF183	G1ORF183	1
AY954969	AAX92202.1	ORF125	G1ORF125	1
AY954969	AAX92204.1	ORF128	G1ORF128	1
AY954969	AAX92219.1	ORF145	G1ORF145	1
AY954969	AAX92231.1	ORF159	G1ORF159	1
AY954969	AAX92264.1	ORF221	G1ORF221	1
AY954969	AAX92290.1	ORF312	G1ORF312	1
AY954969	AAX92166.1	ORF085	G1ORF085	1
AY954969	AAX92287.1	ORF297	G1ORF297	1
AY954969	AAX92210.1	ORF135	G1ORF135	1
AY954969	AAX92173.1	ORF092	G1ORF092	1
AY954969	AAX92272.1	ORF234	G1ORF234	1
AY954969	AAX92279.1	ORF247	G1ORF247	1
AY954969	AAX92235.1	ORF166	G1ORF166	1
AY954969	AAX92268.1	ORF226	G1ORF226	1
AY954969	AAX92296.1	ORF450	G1ORF450	1
AY954969	AAX92249.1	ORF184	G1ORF184	1
AY954969	AAX92169.1	ORF088	G1ORF088	1
AY954969	AAX92188.1	ORF109	G1ORF109	1
AY954969	AAX92182.1	ORF103	G1ORF103	1
AY954969	AAX92266.1	ORF224	G1ORF224	1
AY954969	AAX92168.1	ORF087	G1ORF087	1
AY954969	AAX92183.1	ORF104	G1ORF104	1
AY954969	AAX92154.1	ORF073	G1ORF073	1
AY954969	AAX92167.1	ORF086	G1ORF086	1
AY954969	AAX92190.1	ORF111	G1ORF111	1
AY954969	AAX92133.1	ORF051	G1ORF051	1
AY954969	AAX92151.1	ORF070	G1ORF070	1
AY954969	AAX92212.1	ORF138	G1ORF138	1
AY954969	AAX92152.1	ORF071	G1ORF071	1
AY954969	AAX92255.1	ORF201	G1ORF201	1
AY954969	AAX92262.1	ORF218	G1ORF218	1
AY954969	AAX92132.1	ORF050	G1ORF050	1
AY954969	AAX92294.1	ORF437	G1ORF437	1
AY954969	AAX92245.1	ORF180	G1ORF180	1
AY954969	AAX92193.1	ORF114	G1ORF114	1
